,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PERIOD,GAME_WON
511,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:50,5,6,0.833,3,4,0.75,4,4,1.0,0,1,1,0,0,0,0,0,17,1.0,3,True
512,0022301214,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:44,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,0,0,0,2,0,5,5.0,4,True
513,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:19,1,2,0.5,1,2,0.5,3,3,1.0,0,1,1,1,0,0,1,0,6,10.0,1,False
514,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:01,1,3,0.333,1,3,0.333,2,2,1.0,0,0,0,0,0,0,0,0,5,-3.0,2,False
515,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:03,1,5,0.2,1,2,0.5,0,0,0.0,0,2,2,1,0,0,1,0,3,-8.0,3,False
516,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:59,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,1,0,0,0,0,10,-2.0,4,False
517,0022301222,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:00,3,3,1.0,2,2,1.0,2,2,1.0,0,1,1,0,1,0,1,0,10,-2.0,5,False
518,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:58,5,8,0.625,2,3,0.667,0,0,0.0,0,2,2,1,0,2,0,1,12,6.0,1,True
519,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:25,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,5,0,0,2,0,2,3.0,2,True
520,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:56,4,10,0.4,1,4,0.25,2,2,1.0,0,1,1,3,0,0,1,1,11,12.0,3,True
521,0022400007,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:33,4,7,0.571,2,4,0.5,2,2,1.0,0,2,2,0,1,0,1,0,12,3.0,4,True
522,0022400019,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,11.000000:23,0,1,0.0,0,1,0.0,2,2,1.0,0,5,5,1,0,0,1,0,2,3.0,1,True
523,0022400019,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:52,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,2,2,0,1,2,5,1.0,2,True
524,0022400019,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:46,2,4,0.5,2,4,0.5,0,0,0.0,1,2,3,2,2,0,1,0,6,5.0,3,True
525,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:41,0,4,0.0,0,3,0.0,4,4,1.0,0,3,3,2,0,0,0,0,4,-3.0,1,True
526,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:23,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,5,2,0,0,0,4,12.0,2,True
527,0022400072,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:00,3,3,1.0,3,3,1.0,0,0,0.0,0,5,5,3,0,0,2,0,9,14.0,3,True
528,0022400084,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:08,2,7,0.286,1,5,0.2,2,2,1.0,0,0,0,1,0,0,1,1,7,4.0,1,True
529,0022400084,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:09,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,6.0,2,True
530,0022400084,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:08,5,11,0.455,3,8,0.375,0,0,0.0,0,1,1,2,2,0,1,2,13,12.0,3,True
531,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:58,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,4,0,1,2,1,6,3.0,1,False
532,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:14,1,3,0.333,1,3,0.333,2,2,1.0,0,2,2,1,1,0,1,0,5,4.0,2,False
533,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:17,3,5,0.6,1,1,1.0,0,0,0.0,0,1,1,1,1,0,3,0,7,-3.0,3,False
534,0022400101,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,0.000000:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0,4,False
535,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:31,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,3,0,0,0,0,3,7.0,1,True
536,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:15,1,4,0.25,1,3,0.333,2,2,1.0,1,0,1,1,0,0,1,1,5,-4.0,2,True
537,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:16,5,7,0.714,2,3,0.667,3,3,1.0,0,0,0,2,0,0,1,0,15,2.0,3,True
538,0022400155,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:03,0,2,0.0,0,1,0.0,1,1,1.0,0,0,0,0,0,0,0,0,1,4.0,4,True
539,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:30,1,2,0.5,0,0,0.0,1,1,1.0,0,1,1,3,0,0,2,0,3,-3.0,1,True
540,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:18,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,3,3,0,1,0,3,7.0,2,True
541,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:22,3,6,0.5,2,4,0.5,3,3,1.0,0,2,2,1,0,0,0,1,11,-7.0,3,True
542,0022400172,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:13,3,8,0.375,1,4,0.25,3,3,1.0,0,2,2,2,1,1,0,1,10,10.0,4,True
543,0022400188,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:37,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,0,2,-15.0,1,False
544,0022400188,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:11,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,2,0,5,-14.0,2,False
545,0022400188,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:58,2,4,0.5,0,1,0.0,1,1,1.0,0,1,1,2,0,0,2,0,5,4.0,3,False
546,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:21,2,5,0.4,1,3,0.333,0,0,0.0,1,1,2,2,0,0,1,1,5,-2.0,1,True
547,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:53,2,4,0.5,2,2,1.0,0,1,0.0,0,0,0,2,1,0,0,1,6,8.0,2,True
548,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:42,7,10,0.7,2,4,0.5,1,1,1.0,0,3,3,2,0,0,1,0,17,21.0,3,True
549,0022400207,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:34,2,4,0.5,2,4,0.5,2,2,1.0,0,0,0,1,0,1,1,0,8,-6.0,4,True
