home_team,away_team,ticket_price,date,day_of_week,time,location,url,game_type,duplicate
Washington Mystics,Atlanta Dream,62.0,2025-06-15,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-15-3-pm/17289906,commissioners_cup,
Las Vegas Aces,Phoenix Mercury,11.0,2025-06-15,Sunday,15:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-15-3-pm/17290384,commissioners_cup,
Chicago Sky,Washington Mystics,31.0,2025-06-17,Tuesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-17-7-pm/17290163,commissioners_cup,
Indiana Fever,Connecticut Sun,12.0,2025-06-17,Tuesday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-06-17-7-pm/17290344,commissioners_cup,
Minnesota Lynx,Las Vegas Aces,91.0,2025-06-17,Tuesday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-17-7-pm/17289910,commissioners_cup,
Los Angeles Sparks,Seattle Storm,29.0,2025-06-17,Tuesday,19:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-06-17-7-pm/17289907,commissioners_cup,
New York Liberty,Atlanta Dream,20.0,2025-06-17,Tuesday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-17-7-pm/17289911,commissioners_cup,
Dallas Wings,Golden State Valkyries,58.0,2025-06-17,Tuesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-17-7-pm/17290255,commissioners_cup,
Connecticut Sun,Phoenix Mercury,21.0,2025-06-18,Wednesday,19:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-18-7-pm/17290211,regular_season,
New York Liberty,Phoenix Mercury,16.0,2025-06-19,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-06-19-7-pm/17289913,regular_season,
Golden State Valkyries,Indiana Fever,147.0,2025-06-19,Thursday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-19-7-pm/17290298,regular_season,
Las Vegas Aces,Seattle Storm,10.0,2025-06-20,Friday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-20-7-pm/17290385,regular_season,
Connecticut Sun,Dallas Wings,85.0,2025-06-20,Friday,19:30,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-06-20-7-30-pm/17290213,regular_season,
Atlanta Dream,Washington Mystics,46.0,2025-06-20,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-20-7-30-pm/17290118,regular_season,
Chicago Sky,Phoenix Mercury,39.0,2025-06-21,Saturday,12:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-21-12-pm/17290164,regular_season,
Minnesota Lynx,Los Angeles Sparks,95.0,2025-06-21,Saturday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-21-7-pm/17289917,regular_season,
Las Vegas Aces,Indiana Fever,82.0,2025-06-22,Sunday,12:00,"T-Mobile Arena ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-22-12-pm/17391516,regular_season,
Washington Mystics,Dallas Wings,259.0,2025-06-22,Sunday,15:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-22-3-pm/17289921,regular_season,
Atlanta Dream,Chicago Sky,77.0,2025-06-22,Sunday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-22-3-pm/17290120,regular_season,
Seattle Storm,New York Liberty,33.0,2025-06-22,Sunday,16:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-22-4-pm/17289918,regular_season,
Golden State Valkyries,Connecticut Sun,33.0,2025-06-22,Sunday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-22-5-30-pm/17290300,regular_season,
Chicago Sky,Los Angeles Sparks,47.0,2025-06-24,Tuesday,19:00,"Wintrust Arena ·  ·  · Chicago, IL",/chicago-sky-tickets/wnba/2025-06-24-7-pm/17290167,regular_season,
Dallas Wings,Atlanta Dream,58.0,2025-06-24,Tuesday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-24-7-pm/17290256,regular_season,
Seattle Storm,Indiana Fever,80.0,2025-06-24,Tuesday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-24-7-pm/17289922,regular_season,
Washington Mystics,Minnesota Lynx,35.0,2025-06-24,Tuesday,20:00,"CareFirst Arena ·  ·  · Washington, DC",/washington-mystics-tickets/wnba/2025-06-24-8-pm/17289923,regular_season,
Las Vegas Aces,Connecticut Sun,9.0,2025-06-25,Wednesday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-25-7-pm/17290390,regular_season,
Golden State Valkyries,New York Liberty,46.0,2025-06-25,Wednesday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-25-7-pm/17290303,regular_season,
Indiana Fever,Los Angeles Sparks,19.0,2025-06-26,Thursday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-06-26-7-pm/17290346,regular_season,
Las Vegas Aces,Washington Mystics,10.0,2025-06-26,Thursday,19:00,"Michelob ULTRA Arena at Mandalay Bay Resort & Casino ·  ·  · Las Vegas, NV",/las-vegas-aces-tickets/wnba/2025-06-26-7-pm/17290393,regular_season,
Dallas Wings,Indiana Fever,143.0,2025-06-27,Friday,18:30,"American Airlines Center ·  ·  · Dallas, TX",/dallas-wings-tickets/wnba/2025-06-27-6-30-pm/17290259,regular_season,
Seattle Storm,Connecticut Sun,19.0,2025-06-27,Friday,19:00,"Climate Pledge Arena ·  ·  · Seattle, WA",/seattle-storm-tickets/wnba/2025-06-27-7-pm/17289929,regular_season,
Golden State Valkyries,Chicago Sky,54.0,2025-06-27,Friday,19:00,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-27-7-pm/17290305,regular_season,
