Player,ewins,team_alias,pos_text,age,mpg,2025-26,production_value,diff
Daniel Gafford,1.31797,DAL,C,27,21.9412,14386320,5008286.0,-9378034.0
Santi Aldama,2.37653,MEM,PF,25,27.8605,18485916,9030814.0,-9455102.0
Aaron Gordon,3.51794,DEN,PF,30,27.5625,22841455,13368172.0,-9473283.0
Pat Connaughton,0.326039,CHA,SG,33,7.30556,10739683,1238948.2000000002,-9500734.8
Pat Connaughton,0.326039,CHA,SG,33,7.30556,10739683,1238948.2000000002,-9500734.8
Zaccharie Risacher,0.927703,ATL,SF,20,23.1311,13197720,3525271.4000000004,-9672448.6
Jordan Hawkins,-1.32067,NOP,SG,23,12.2826,4741320,-5018546.0,-9759866.0
Caleb Martin,-0.0521475,DAL,SF,30,14.7586,9594044,-198160.5,-9792204.5
Cody Williams,-1.12166,UTA,PF,21,22.9167,5742480,-4262308.0,-10004788.0
Jarace Walker,-0.884412,IND,SF,22,25.726,6665520,-3360765.6,-10026285.6
Kevin Durant,11.7401,HOU,PF,37,36.4225,54708609,44612380.0,-10096229.0
Kyle Anderson,-0.23907,MIN,PF,32,19.0541,9219512,-908466.0,-10127978.0
Dennis Schroder,1.03325,CLE,PG,32,24.6984,14104000,3926350.0,-10177650.0
OG Anunoby,7.73353,NYK,PF,28,33.2131,39568966,29387414.0,-10181552.0
RJ Barrett,4.6099,TOR,SG,25,29.98,27705357,17517620.0,-10187737.0
Isaiah Hartenstein,4.79318,OKC,C,27,24.8372,28500000,18214084.0,-10285916.0
Keegan Murray,0.173929,SAC,PF,25,34.4783,11144093,660930.2,-10483162.8
CJ McCollum,5.26366,ATL,PG,34,29.7571,30666666,20001908.0,-10664758.0
Jordan Clarkson,0.595971,NYK,SG,33,18.2,12947835,2264689.8000000003,-10683145.2
Jordan Clarkson,0.595971,NYK,SG,33,18.2,12947835,2264689.8000000003,-10683145.2
Tyus Jones,-0.970569,DEN,PG,29,14.5625,7000000,-3688162.2,-10688162.2
Jarred Vanderbilt,0.232096,LAL,PF,26,17.5,11571429,881964.7999999999,-10689464.2
Mike Conley,0.186345,MIN,PG,38,18.1224,11499872,708111.0,-10791761.0
Mike Conley,0.186345,MIN,PG,38,18.1224,11499872,708111.0,-10791761.0
Terance Mann,1.23705,BKN,SF,29,24.2903,15500000,4700790.0,-10799210.0
Nick Richards,-1.54887,CHI,C,28,14.5833,5000000,-5885706.0,-10885706.0
